batch_number,global_electric_energy_lhv_consumption,process_energy_gas_lhv_consumption,process_energy_heatpump_lhv_consumption,process_energy_cogeneration_lhv_consumption,global_thermal_energy_lhv_consumption,created_at,updated_at,deleted_at
C23C1232,47.69625116713352,51.44397759,116.4295051,283.2244009,451.0978836,,,
C23C1233,43.41084369449378,68.11145648,133.4588514,322.6761397,524.2464476,,,
C23C1234,44.9336301369863,47.97991905,128.638543,289.5392279,466.1576899,,,
C23C1235,48.19411668158758,76.1038496,126.8185616,319.3076694,522.2300806,,,
C23C1236,52.66403018625562,103.566474,75.477842,314.7077714,493.7520873,,,
C23C1237,45.946255156157925,89.92972893,103.8809664,297.5839717,491.3946671,,,
C23C1238,49.39071155073389,244.1860243,236.7702616,0.0,480.9562859,,,
C23C1239,46.24980165778567,229.8876554,229.6909414,0.0,459.5785968,,,
C23C1240,50.47554462934947,227.6373676,218.0260212,0.0,445.6633888,,,
C23C1241,48.51216727716727,245.385989,210.1111111,0.0,455.4971001,,,
C23C1242,49.91031683765842,217.1501207,224.2308389,0.0,441.3809596,,,
C23C1243,48.44380464689697,245.6345154,202.277591,0.0,447.9121064,,,
C23C1244,47.64439597315436,246.7202563,190.9273948,0.0,437.647651,,,
C23C1245,47.88641811527905,280.9556267,201.704788,0.0,482.6604148,,,
C23C1246,50.24052486187845,302.9392265,213.5184162,0.0,516.4576427,,,
C23C1247,46.42433656467737,302.6928204,166.0896698,0.0,468.7824902,,,
C23C1248,50.323431253785586,331.7830103,181.2165354,0.0,512.9995457,,,
C23C1249,47.04725236208473,254.0339835,254.4455959,0.0,508.4795794,,,
C23C1250,47.51767477203647,202.8159574,226.4319149,0.0,429.2478723,,,
C23C1251,48.45231179518439,226.0217921,239.3508077,0.0,465.3725998,,,
C23C1252,50.83356201318154,171.2494008,169.4823247,0.0,340.7317256,,,
C23C1253,1.235,,,,,,,
C23C1254,22.074902971497878,240.4852941,281.3705276,0.0,521.8558217,,,
C23C1255,52.49534958601655,335.1609936,190.9058571,0.0,526.0668507,,,
C23C1256,49.796064087061666,284.4372733,185.826179,0.0,470.2634522,,,
C23C1257,45.691129807692306,271.5009014,192.0396635,0.0,463.5405649,,,
C23C1258,47.4815919418358,294.2272039,199.6591942,0.0,493.8863981,,,
C23C1259,48.34218635809988,304.8900731,194.8748477,0.0,499.7649208,,,
C23C1260,47.13633982947625,317.4966504,195.4689403,0.0,512.9655907,,,
C23C1261,47.9228210939861,285.3522212,181.4445452,0.0,466.7967664,,,
C23C1262,48.752408416590974,325.1021798,208.3639116,0.0,533.4660914,,,
C23C1263,47.26521148036254,285.7663142,180.4712991,0.0,466.2376133,,,
C23C1264,45.014743746186696,221.6188225,216.5738255,0.0,438.192648,,,
C23C1265,48.360876257238644,245.8953063,254.3544651,0.0,500.2497714,,,
C23C1266,52.401207529843894,234.4986226,227.1910009,0.0,461.6896235,,,
C23C1267,47.668121019108284,207.5650591,205.8871702,0.0,413.4522293,,,
C23C1268,28.05977341389728,218.7883686,220.858006,0.0,439.6463746,,,
C23C1269,47.75038227231191,186.8863844,226.7069753,0.0,413.5933597,,,
C23C1270,67.27945797807553,192.281821,252.9598051,0.0,445.2416261,,,
C23C1271,50.16044521581648,178.7272864,225.4663447,0.0,404.1936312,,,
C23C1272,38.768957138545126,184.3818292,185.16722,0.0,369.5490492,,,
C23C1273,46.3380303030303,330.1963636,178.3439394,0.0,508.540303,,,
C23C1274,55.37576782449726,246.5457038,181.694089,0.0,428.2397928,,,
C23C1275,48.5439802130898,285.8616438,188.651446,0.0,474.5130898,,,
C23C1276,41.06116651418115,263.2163769,190.6800854,0.0,453.8964623,,,
C23C1277,44.81767716535433,310.061175,238.8976378,0.0,548.9588128,,,
C23C1278,51.63535853002689,261.2083956,198.0519869,0.0,459.2603824,,,
C23C1279,48.54689320388349,278.3446602,208.7621359,0.0,487.1067961,,,
C23C1280,47.84964585834334,277.9465786,193.6614646,0.0,471.6080432,,,
C23C1281,42.657948834392975,253.846049,164.7835301,0.0,418.6295792,,,
C23C1282,45.36530303030303,337.8804545,206.4,0.0,544.2804545,,,
C23C1283,47.742743698754936,281.3326754,189.3713939,0.0,470.7040692,,,
C23C1284,46.28489416389477,281.2996674,184.8321742,0.0,466.1318415,,,
C23C1285,44.75504897459443,282.8429752,190.3275176,0.0,473.1704928,,,
C23C1286,46.64288267644363,321.5678277,202.5297892,0.0,524.0976169,,,
C23C1287,47.466288523627824,276.8708541,192.0393308,0.0,468.9101849,,,
C23C1288,47.22412715191785,283.7731803,190.6976744,0.0,474.4708547,,,
C23C1289,49.412429088714546,266.3391672,227.7957151,0.0,494.1348823,,,
C23C1290,48.80003327283726,276.657441,133.8914096,0.0,410.5488506,,,
C23C1291,49.00975845410628,337.0625,118.8804348,0.0,455.9429348,,,
C23C1292,47.21920590816028,284.1936239,157.4744077,0.0,441.6680316,,,
C23C1293,49.38949353772167,300.1717764,193.8443042,0.0,494.0160806,,,
C23C1294,50.9734066587396,297.5471165,188.3353151,0.0,485.8824316,,,
C23C1295,48.80992354740061,296.2568807,194.470948,0.0,490.7278287,,,
C23C1296,45.735,302.2827273,190.0727273,0.0,492.3554545,,,
C23C1297,47.713787878787876,266.0890909,186.4484848,0.0,452.5375758,,,
C23C1298,50.041060606060604,312.6013636,196.4242424,0.0,509.0256061,,,
C23C1299,46.60390243902439,268.6897866,176.0487805,0.0,444.7385671,,,
C23C1300,47.207727272727276,315.3927273,207.9878788,0.0,523.3806061,,,
C23C1301,49.99257575757576,285.0640909,183.7575758,0.0,468.8216667,,,
C23C1302,46.216818181818184,304.3527273,193.6727273,0.0,498.0254545,,,
C23C1303,45.49560606060606,279.1677273,182.2181818,0.0,461.3859091,,,
C23C1304,47.253181818181815,276.345,204.3393939,0.0,480.6843939,,,
C23C1305,49.65653284671533,273.7020985,150.5596107,0.0,424.2617092,,,
C23C1306,45.83024526030695,275.833885,208.9437255,0.0,484.7776106,,,
C23C1307,46.67914333032219,330.102981,198.9039446,0.0,529.0069256,,,
C23C1308,49.09300970873786,285.8182646,193.9927184,0.0,479.810983,,,
C23C1309,49.83652671755725,310.1839695,203.7129771,0.0,513.8969466,,,
C23C1310,47.55538542607648,242.0921409,182.2704005,0.0,424.3625414,,,
C23C1311,44.00451108411782,287.8073186,211.4910416,0.0,499.2983602,,,
C23C1312,44.7580352303523,263.4092141,187.8349895,0.0,451.2442036,,,
C23C1313,49.59709506509234,292.2942779,214.9561005,0.0,507.2503784,,,
C23C1314,51.65637404580153,256.3007634,207.8668702,0.0,464.1676336,,,
C23C1315,47.072887067395264,239.8661202,214.1857923,0.0,454.0519126,,,
C23C1316,50.33709102091021,284.6568266,207.7862854,0.0,492.4431119,,,
C23C1317,50.37682475158085,266.0582656,200.4444444,0.0,466.50271,,,
C23C1318,42.811687116564414,225.1283742,209.9929448,0.0,435.121319,,,
C23C1319,46.59278713168971,326.712718,234.3262177,0.0,561.0389357,,,
C23C1320,54.28808376802701,247.5552317,196.3068426,0.0,443.8620743,,,
C23C1321,48.08802073940487,263.4941389,193.403667,0.0,456.8978058,,,
C23C1322,45.67483402489627,224.3624778,194.0755779,0.0,418.4380557,,,
C23C1323,48.71914376321352,243.2922078,197.3101782,0.0,440.602386,,,
C23C1324,48.37396457765667,217.7166213,203.4235543,0.0,421.1401756,,,
C23C1325,45.34574330424315,213.1358712,212.4769786,0.0,425.6128498,,,
C23C1326,45.813963140545404,233.2394366,209.7057237,0.0,442.9451603,,,
C23C1327,44.86364077669903,238.8727245,197.9469053,0.0,436.8196299,,,
C23C1328,46.83886473429952,250.40625,223.3831522,0.0,473.7894022,,,
C23C1329,49.02372805666769,238.3655682,206.4016015,0.0,444.7671697,,,
C23C1330,42.437801461632155,213.8705847,212.316078,0.0,426.1866626,,,
